id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
RAB40AL,4,0.69845,0.47889,0.719473,12889,0,-0.010331,0.26385,0.48377,1,6385,1,-0.010331
WNT2B,4,0.69847,0.47889,0.719473,12890,0,0.20532,0.013972,0.074361,1,736,2,0.20532
ATXN7L3,4,0.69851,0.47889,0.719473,12891,0,0.196,0.010669,0.062879,1,592,2,0.196
HACE1,4,0.6986,0.47889,0.719473,12892,0,0.078558,0.60881,0.74288,1,11304,1,0.078558
SVIP,4,0.69864,0.47889,0.719473,12893,0,-0.0032501,0.10393,0.2992,1,3324,1,-0.0032501
TSPAN14,4,0.6987,0.47889,0.719473,12894,0,0.15987,0.15079,0.36768,1,4531,2,0.15987
DZANK1,4,0.69877,0.47889,0.719473,12895,0,0.090276,0.29877,0.50243,1,6759,1,0.090276
ZNF543,4,0.69894,0.47889,0.719473,12896,0,0.0071655,0.5071,0.66844,1,9589,1,0.0071655
ZFPM1,4,0.69896,0.47889,0.719473,12897,0,0.17347,0.019989,0.095892,1,1015,3,0.17347
CCM2,4,0.69906,0.47889,0.719473,12898,0,0.056588,0.66446,0.80621,1,12314,0,0.056588
CYP2C19,4,0.69913,0.47889,0.719473,12899,0,0.031941,0.54215,0.68855,1,10140,1,0.031941
KCTD3,4,0.69915,0.47889,0.719473,12900,0,0.036557,0.65786,0.79664,1,12188,0,0.036557
MPPED1,4,0.69917,0.47889,0.719473,12901,0,0.029632,0.43876,0.62449,1,8586,1,0.029632
LSAMP,4,0.69932,0.47889,0.719473,12902,0,-0.070924,0.85494,0.94307,1,15938,0,-0.070924
FAM178A,4,0.69936,0.47889,0.719473,12903,0,-0.047172,0.89054,0.96389,1,16614,0,-0.047172
WDR37,4,0.69938,0.47889,0.719473,12904,0,-0.058012,0.88956,0.96353,1,16599,0,-0.058012
RNPEP,4,0.69945,0.47889,0.719473,12905,0,0.0041573,0.5664,0.71145,1,10568,1,0.0041573
ABHD12B,4,0.69951,0.47889,0.719473,12906,0,-0.059415,0.91027,0.97155,1,17011,0,-0.059415
SOCS6,4,0.69953,0.47889,0.719473,12907,0,0.038286,0.17346,0.40616,1,5067,2,0.038286
SGK2,4,0.69964,0.47889,0.719473,12908,0,0.072601,0.51509,0.66991,1,9715,1,0.072601
HOXC12,4,0.69966,0.47889,0.719473,12909,0,0.052352,0.56416,0.71145,1,10525,1,0.052352
AFM,4,0.6997,0.47889,0.719473,12910,0,0.022322,0.67723,0.81881,1,12545,0,0.022322
RIMKLA,4,0.69979,0.47889,0.719473,12911,0,0.007765,0.89068,0.96389,1,16618,0,0.007765
S100A3,4,0.69985,0.47889,0.719473,12912,0,-0.0050273,0.68651,0.82535,1,12731,0,-0.0050273
ALDH5A1,4,0.69989,0.47889,0.719473,12913,0,0.075405,0.10744,0.30135,1,3412,2,0.075405
LOC100144595,2,0.6999,0.53544,0.752157,12914,0,0.062245,0.24766,0.36988,1,6203,1,0.062245
OR1K1,4,0.69994,0.47889,0.719473,12915,0,0.032882,0.69011,0.82863,1,12797,0,0.032882
TXLNB,4,0.69996,0.47889,0.719473,12916,0,0.029379,0.59458,0.73573,1,11044,1,0.029379
WBP5,4,0.70006,0.48132,0.722174,12917,0,-0.037336,0.92111,0.97674,1,17235,0,-0.037336
FAM131A,4,0.70008,0.48132,0.722174,12918,0,0.11516,0.078089,0.24845,1,2699,2,0.11516
SSR4,4,0.70013,0.48132,0.722174,12919,0,-0.049324,0.27173,0.48515,1,6465,1,-0.049324
ATP6V1A,4,0.70023,0.48132,0.722174,12920,0,-0.044247,0.70361,0.83826,1,13053,0,-0.044247
ORM2,4,0.70025,0.48132,0.722174,12921,0,0.1554,0.022893,0.10529,1,1152,3,0.1554
LDOC1,3,0.70027,0.50706,0.733458,12922,0,0.14333,0.040806,0.13107,1,1767,2,0.14333
LTB4R2,4,0.70028,0.48132,0.722174,12923,0,-0.026466,0.7484,0.87309,1,13885,0,-0.026466
