,gene_symbol
690,MNX1
694,TFAP2A
695,TBXAS1
696,EDA
697,COL11A1
700,PSPH
701,FGF3
702,CRPPA
703,WRAP53
704,MAP3K1
706,TBX5
709,COL9A2
711,EXOSC3
712,FANCD2
713,AUH
714,EXT1
717,QDPR
718,HINT1
719,UBR1
720,YY1
722,ARID1A
723,MED12
724,SRY
725,CRYBA1
726,SCN1B
727,RAI1
728,SETD5
729,DDHD2
731,MMP13
732,GAA
733,PTH1R
734,PIK3R2
735,KCTD1
736,TBX20
737,TMEM165
740,HYCC1
741,HNF1B
742,HR
743,ATRX
746,SLC12A6
748,FTCD
749,KCNQ2
752,UPF3B
755,SLC26A2
756,SIX5
757,COQ9
760,SLC9A6
761,NAA10
762,MICU1
763,NDUFS1
764,EPG5
765,LRP4
766,SIX1
767,SETBP1
769,ETFA
771,PIGA
772,NIPBL
773,KCNQ1
775,CA8
776,ELAC2
778,TWIST1
781,GUCY2C
782,OBSL1
786,RAB39B
787,MTHFR
790,ALDOA
792,PDHX
795,NOTCH2
799,NHS
801,COX7B
803,PEPD
804,NGLY1
805,SC5D
807,ECEL1
808,ALMS1
809,RYR1
811,FGF10
812,ABHD5
813,MATN3
815,NDUFS7
816,GMPPB
817,CYC1
818,ANKH
822,TTC7A
823,PGK1
825,FAM20A
826,ACY1
829,PTCHD1
831,ITGA3
833,DDR2
834,MYO5B
835,SLC16A2
837,HPRT1
839,DAG1
841,KCNT1
842,ABCB7
844,CTC1
846,CEP290
847,SMC1A
848,CENPJ
851,CHST14
852,CRYBB3
853,IHH
854,CDON
856,FUCA1
857,CACNA1C
858,ELN
859,TRIP11
860,HOXD13
863,SPRED1
864,TGIF1
865,BCS1L
866,AIPL1
867,PHF6
868,KIF1A
869,FAM20C
870,GRM6
873,SRD5A3
874,IGF1R
875,MID1
876,PNPT1
877,PLCE1
878,VLDLR
879,MEF2C
880,MSX2
883,NMNAT1
884,AK2
885,HSD3B7
886,EGR2
888,CC2D2A
890,IGSF1
891,ERCC6L2
892,CEP57
893,HPSE2
894,KIF7
895,LMBRD1
897,LAMP2
898,HNF4A
899,LTBP2
902,OTX2
905,GATA2
906,SDHAF1
907,FBN1
908,ATP8B1
910,FOXG1
914,GCH1
915,TRPV4
916,LIG4
919,SIX3
920,CHRNA4
921,TBX4
927,ATP6V1B1
928,SMAD4
929,ALX4
930,SCO2
931,CCNO
932,RAPSN
933,WDPCP
934,ALX3
935,FREM1
936,CKAP2L
938,UBE3A
939,POLR3B
940,WNT5A
942,POMT2
943,JAK3
944,COX10
945,NDE1
946,KANSL1
948,SOS1
949,HAX1
950,ITGA7
951,TSPAN7
953,RPE65
954,CUL4B
957,NOG
958,FOLR1
959,PAPSS2
961,SDHA
962,TSHR
963,COL9A3
965,GRIA3
966,ERCC5
967,TSC2
969,VDR
970,PRSS56
972,PIGT
974,TGFBR1
976,TYRP1
980,CCND2
981,SKIC3
982,SOX2
984,GNAI3
985,STXBP1
986,ALDH4A1
987,TBCE
989,CTDP1
990,LFNG
992,ACAD9
993,SPR
994,MCEE
995,ATIC
996,AP4E1
997,ESCO2
998,NDUFS4
1000,INPPL1
1001,MC2R
1003,DYRK1A
1004,CERT1
1005,AKT1
1009,TAFAZZIN
1011,MTR
1012,MYCN
1013,ACP5
1014,FTSJ1
1015,IL1RAPL1
1016,ST3GAL5
1017,RBM8A
1018,KCNJ10
1020,PLOD2
1021,COL18A1
1022,TYR
1024,IGHMBP2
1026,KLF1
1028,CRB1
1031,SPEG
1032,HIBCH
1033,SCO1
1034,LHX3
1035,UROS
1036,HSPG2
1038,L2HGDH
1039,RAB3GAP2
1040,TGDS
1041,LBR
1042,SEC23B
1043,MTOR
1045,HOXA13
1047,SLC27A4
1050,HPS1
1051,GK
1052,TUBB2B
1053,RPGRIP1L
1055,CLPB
1058,EFTUD2
1061,APTX
1062,MCCC1
1063,SLC35D1
1064,NPHP1
1065,PMS2
1066,TAB2
1067,LTBP3
1068,PHGDH
1069,IFT80
1070,FKBP14
1071,FOXC2
1074,PAX8
1076,PDE4D
1079,TRAPPC9
1080,CTNNB1
1081,KDM5C
1082,FLT4
1083,MPV17
1084,TSC1
1089,POLR1D
1090,PHOX2B
1091,BRWD3
1093,PPP2R5D
1096,GJA3
1097,DPM1
1098,DLG3
1100,GALE
1103,FYCO1
1105,COA8
1106,FBP1
1107,TUSC3
1108,PCYT1A
1113,RAB23
1114,TMPRSS6
1116,HMGCS2
1118,POLG
1119,VPS33B
1120,RNASET2
1121,MGP
1122,TCOF1
1124,HDAC4
1125,MYH3
1126,SYNGAP1
1127,ROGDI
1130,LMX1B
1132,ACAT1
1133,TSHB
1134,COX15
1135,DIS3L2
1136,GTF2H5
1138,HYAL1
1139,HCFC1
1143,WAC
1144,CYP1B1
1145,SF3B4
1147,SYP
1148,UROC1
1150,SIL1
1151,PORCN
1152,FKTN
1153,BBS7
1154,ETHE1
1156,ATM
1158,TMEM70
1160,PGM1
1161,NEK1
1162,KCTD7
1164,SMARCAL1
1165,CHD7
1167,PNKP
1168,LARP7
1169,PHF8
1170,ARSL
1172,BIN1
1173,DARS1
1174,CDKN1C
1178,PTCH1
1179,BMPR1B
1180,PEX5
1181,MAF
1182,MMUT
1184,GRIN2A
1185,PACS1
1187,GLIS3
1188,PPP2R1A
1190,MEGF8
1191,SKIC2
1194,IFITM5
1197,EIF4A3
1199,MAB21L2
1200,FGD1
1201,HPGD
1207,CUL7
1208,CTSD
1210,RAB3GAP1
1211,EDNRB
1213,SDCCAG8
1214,NPHP3
1218,PQBP1
1219,MCPH1
1220,GLE1
1221,CCDC39
1222,NUBPL
1224,MYH9
1225,MYO5A
1227,GLMN
1229,ETFB
1231,TXNL4A
1233,ORC6
1234,POU1F1
1237,ERCC1
1238,CC2D1A
1239,GM2A
1241,EDNRA
1242,DYM
1243,TRIM37
1244,AKR1D1
1246,PGAP3
1247,ACADVL
1249,FOXP3
1251,BSND
1252,COX6B1
1253,PALB2
1254,SOX9
1256,PGM3
1260,PAK3
1261,CSTB
1266,RNASEH2C
1267,CCDC40
1270,SBDS
1271,RTTN
1272,IGF1
1274,FRAS1
1275,PDGFRB
1278,GATM
1279,AHDC1
1280,DDOST
1281,ENPP1
1282,RAB18
1284,MFRP
1286,CDKL5
1287,KCNB1
1288,PSAP
1292,ZBTB20
1294,VIPAS39
1296,DDX11
1298,FOXRED1
1299,GALNS
1301,PLOD1
1302,POC1A
1304,HYDIN
1305,TCTN3
1306,KIF22
1307,NDUFA1
1309,TBR1
1314,GPC3
1315,SHOC2
1318,EIF2AK3
1319,RECQL4
1321,USB1
1322,KIAA0586
1323,AHI1
1325,MAPRE2
1326,DKC1
1327,PARN
1328,TINF2
1329,TCN2
1330,COL6A3
1331,ADGRG6
1332,ZIC1
1333,AFG2A
1335,DLL4
1337,CEP104
1338,MFSD2A
1339,PRDM12
1340,DVL3
1342,ITPR1
1343,SMO
1344,GORAB
1345,TBX15
1346,OTULIN
1347,HECW2
1348,THOC6
1349,BHLHA9
1350,WDR26
1351,ARMC9
1352,PEX11B
1354,EDAR
1356,SLC52A2
1357,TBL1XR1
1358,PCYT2
1359,KMT2E
1360,SAMD9
1361,SEPSECS
1362,HNRNPK
1363,POU3F3
1364,POLR2A
1365,TAOK1
1366,HNRNPR
1367,CSF1R
1368,GPC4
