,gene_symbol
8842,NDUFAF4
8852,NFKBIA
8867,NUP88
8872,OSGEP
8874,OTUD6B
8878,PAM16
8881,PATL2
8891,PDK3
8900,PIGC
8904,PLAA
8918,POP1
8919,PPA2
8920,PPIB
8931,PSTPIP1
8935,PTPRF
8938,QRICH2
8939,QRSL1
8944,RANBP2
8946,RBP3
8948,REEP6
8950,RIPPLY2
8951,RNASEH1
8957,RPL11
8958,RPL15
8960,RPL35A
8963,RPS7
8970,RTN2
8972,RUSC2
8979,SERPINF1
8986,SLC16A12
8988,SLC22A12
8992,SLC35A3
8999,SLC6A9
9007,SP7
9024,SUN5
9029,TDRD9
9040,TMEM126A
9043,TMEM38B
9046,TNFRSF11B
9052,TPI1
9053,TPO
9058,TRPC6
9063,TTBK2
9077,XK
9079,ZBTB24
9085,ZNF341
9087,ZP3
9088,ABCC2
9095,ANTXR2
9105,COL27A1
9118,DDX59
9132,GMNN
9133,GNMT
9134,GSR
9142,HSD11B2
9148,KHDC3L
9152,LPIN2
9154,LRPAP1
9157,MIR184
9159,MPC1
9163,NR1H4
9168,RAB33B
9175,SH3BP2
9178,SLC12A3
9182,SMG9
9200,AFF4
9207,ARV1
9227,HNRNPH2
9249,OPLAH
9256,PLEKHG2
9269,SLC25A3
9272,STX16
9275,TBCK
9285,TUBGCP4
9296,ANAPC1
9297,ARCN1
9308,COG2
9310,CPSF1
9315,DHX30
9317,DOCK3
9319,EXOSC2
9325,GOT2
9327,IFNGR2
9329,IL12RB1
9330,IL17RA
9331,ISG15
9334,KCNK4
9335,KCNQ5
9344,MIPEP
9345,MIR140
9347,NACC1
9351,NUP160
9357,PIGG
9361,PSMD12
9364,RAC3
9374,SLC9A7
9375,SPG21
9376,SPTB
9378,SRD5A2
9382,TBCD
9384,TMEM260
9385,TMEM63A
9386,TRAPPC12
9387,TRHR
9390,TYK2
9392,UFC1
9395,ZBTB11
9407,CD36
9416,CYP24A1
9418,DYNC2I1
9429,LIPC
9432,MASP2
9434,MC4R
9478,UPB1
9485,DCHS1
9499,TUBGCP2
9514,ELOVL1
9592,RPS17
9602,EXOSC8
9604,MAB21L1
9610,SNX14
9611,SPTBN2
9612,TBC1D23
9615,TSEN2
9619,VPS53
9621,WDR81
9624,TCTN1
9630,TSEN34
9633,UQCRQ
9640,PIWIL2
9641,ZSWIM7
9643,RALA
9657,SIM1
9659,SLC26A7
9672,STAG2
9673,STUB1
9681,TEAD1
9685,TJP2
9690,TONSL
9698,UBA2
9699,UBAP1
9701,USP53
9706,ZBTB7A
9707,ZFPM2
9710,CPA1
9722,ACD
9730,ACTL9
9744,ADCY3
9746,AGO2
9747,AGPAT2
9748,AGT
9752,AK1
9761,CCDC88A
9763,CCNF
9766,CD2AP
9769,CD55
9773,CD8A
9778,CDK19
9779,CDK5
9786,CEBPE
9787,CELF2
9794,CERS1
9796,CFD
9798,CFP
9808,CLCF1
9815,CLDN11
9821,CNOT2
9823,CNTN2
9854,CPLX1
9855,CPT1C
9874,CST3
9879,CTSB
9882,CYB5A
9886,CYP17A1
9888,CYP26C1
9889,CYP2R1
9891,D2HGDH
9892,DAAM2
9894,DBR1
9897,DCT
9902,RIGI
9905,DEF6
9916,DHX16
9917,DHX37
9939,DPYSL5
9972,EMP2
9979,EPHA2
10004,FADD
10005,TOGARAM1
10007,FAN1
10020,FGF16
10021,FGF17
10025,GPR101
10026,GPR68
10039,GSC
10041,GUCA1B
10049,HARS1
10063,HMOX1
10065,HNMT
10070,HOXA11
10082,HSPD1
10089,IARS2
10093,IFNAR2
10094,IFNGR1
10109,IL2RB
10110,IL6ST
10117,IQSEC1
10119,IRAK4
10120,IREB2
10125,IRS4
10127,ITGA2
10132,ITGB6
10138,KAT5
10164,MTX2
10169,MYF5
10177,MYL4
10179,MYL11
10186,MYOD1
10189,MYSM1
10195,NARS1
10198,NCKAP1L
10200,NDNF
10214,NEK10
10215,NEMF
10217,NFE2L2
10221,NFS1
10223,NGF
10228,NLRP7
10244,NSMCE2
10245,NSMF
10247,NTN1
10252,NUP205
10257,OAS1
10265,OPN1SW
10279,PANX1
10285,PCGF2
10286,PCK1
10298,PDXK
10302,PGAP1
10305,PHACTR1
10321,PIK3C2A
10328,PITPNM3
10349,SEMA3A
10366,SH2D1A
10371,SIK1
10374,SLC12A1
10377,SLC13A5
10380,SLC1A1
10381,SLC24A1
10396,SLC34A3
10399,SLC39A14
10401,SLC44A1
10402,SLC4A1
10415,SMARCD2
10427,TICAM1
10430,TLE6
10434,TMEM106B
10461,VPS45
10462,VWA1
10463,WARS1
10466,WBP11
10469,WDR45B
10470,CFAP251
10474,WNT1
10483,XIAP
10489,YRDC
10493,ZMYND15
10494,ZNF148
10498,ZNF423
10501,ZP2
10510,CTNND2
10515,KDM4B
10530,AGO1
10533,ARF3
10536,ATP9A
10543,CHD5
10547,FBXW7
10550,H4C5
10554,KCNC2
10556,LRP12
10558,MLIP
10560,MSH4
10562,PADI6
10564,PPFIBP1
10570,SPTLC1
10578,ANKRD17
10581,ATG7
10590,FNIP1
10602,LAT
10605,MAPKBP1
10620,SASH3
10624,SPI1
10637,CASP10
10644,KRT3
10646,CHN1
10648,CRYAB
10653,CCT2
10656,LRMDA
10659,BBIP1
10661,CLUAP1
10662,ELP4
10664,COL8A2
10665,CRYBA2
10667,GNB3
10672,IFT52
10675,LEMD2
10679,MAPKAPK3
10685,GNAQ
10694,SLC7A14
10696,SLC39A5
10698,RP9
10706,USP45
10715,KARS1
10748,GEMIN5
10751,POU4F1
10754,TP73
10755,EDEM3
10757,TMEM222
10759,GDF11
10761,ACER3
10762,PRKG2
10766,COA6
10770,ABCA2
10784,AIP
10805,ADAMTS19
10811,ADPRS
10813,AFF3
10823,AHR
10833,AQP2
10850,ALG5
10867,AMBN
10868,AMH
10870,AMN
10883,ANLN
10905,MYOT
10928,ARNT2
10933,ARSK
10951,ATOH7
10952,FSHB
10968,SLC5A2
10974,B2M
10982,ATP8A2
11003,CBLIF
11018,BCORL1
11066,CSF2RA
11073,MAGT1
11077,C2
11079,C2orf69
11085,C6
11087,C8A
11105,KLHL15
11106,DNAAF6
11113,CADM3
11134,CASQ1
11146,CBLB
11151,ELF4
11154,GLRA2
11158,CDC20
11171,SSX1
11176,CEP120
11206,CLCN6
11210,CLEC3B
11214,CA4
11249,COL4A6
11264,ATXN10
11268,CPE
11285,CST6
11297,CXCR2
11300,APCDD1
11323,ELMO2
11324,DHH
11325,TDP1
11327,DLX5
11335,DNAJB4
11337,DNAJC30
11362,DTYMK
11375,EEF2
11382,C5
11391,EMILIN1
11398,PDYN
11402,EPRS1
11403,ERBB3
11414,ERLIN1
11416,EXOC6B
11417,EXOC8
11418,EXTL3
11424,TENT5A
11429,FARSA
11430,FASLG
11445,PRICKLE1
11474,NR5A1
11516,FRMD4A
11517,FRMD7
11520,FSHR
11522,FSIP2
11525,FTO
11529,FXR1
11532,FZD2
11544,GABRB1
11549,CAVIN1
11571,GCM2
11575,GDAP2
11579,GDF9
11584,GFER
11588,GFRA1
11591,GGPS1
11596,GIMAP5
11615,GOSR2
11629,GLYCTK
11643,GNB2
11644,PSMC3IP
11649,GNRH1
11650,LRSAM1
11660,GPRC5B
11665,GRIA1
11667,GRID2
11690,HEATR3
11696,HID1
11702,HMGA2
11704,HMGCR
11709,HNRNPH1
11718,MARS1
11719,CDIN1
11725,KPTN
11727,RPL21
11734,LIPE
11741,IFT27
11750,IL6R
11763,STAT2
11771,MIR204
11778,JARID2
11797,SYCE1
11801,KCNJ8
11805,KCNN2
11807,CACNA1H
11809,ADSS1
11818,KDELR2
11820,IARS1
11824,FIBP
11828,KIAA0825
11842,PRMT7
11856,PLCZ1
11858,KLF11
11859,TMTC3
11870,AP3B2
11873,KPNA7
11889,LGI4
11910,LARS1
11913,LAS1L
11927,LHCGR
11930,CDK10
11931,MEIOB
11936,LMBR1
11938,MTHFD1
11973,BMP2
11975,LTBP1
11977,IFT81
11988,MAGI2
11999,CLPX
12013,FERRY3
12015,CCDC47
12016,MTHFS
12017,MCM2
12031,MEI1
12035,RASGRP1
12048,MIA3
12049,MESD
12056,SRP54
12066,CYBC1
12072,GIPC1
12076,MSH5
12077,MSMO1
12095,IDH3A
12104,MYH8
12105,SVIL
12111,NAA20
12112,LRRC32
12115,MAPK1
12121,NCDN
12125,PDE2A
12128,SQOR
12135,NEUROD2
12151,NOP10
12164,NPR3
12165,MED27
12170,CAPN15
12176,TBC1D2B
12180,NUP85
12181,NXN
12182,OBSCN
12185,ODC1
12188,OGDH
12213,PCDHGC4
12215,PDCD6IP
12228,MYL9
12229,PERP
12237,RPL3L
12245,SOCS1
12255,PITRM1
12265,SYK
12268,PLCG2
12270,PLCH1
12286,DDB1
12288,PMFBP1
12297,PNLIP
12299,AP1G1
12316,POLR1B
12321,IPO8
12333,POPDC3
12345,PPP1R21
12348,PPP2R2B
12349,PPP2R3C
12354,PRDM8
12355,PRDX1
12357,MINPP1
12359,PRR12
12361,TMEM218
12362,JAG2
12363,PRKACA
12370,PRKAR1B
12371,PRKCD
12372,PRKD1
12375,EXOSC5
12385,PLPBP
12386,PRPF6
12410,BCAS3
12424,PTPN23
12425,PTPRO
12438,RBL2
12440,RAD50
12461,ANAPC7
12466,RBM28
12471,RDH11
12476,DNHD1
12501,RIMS1
12503,RINT1
12505,RIPK1
12515,RNF13
12516,RNF170
12518,RNF2
12521,RNF220
12539,POLRMT
12544,BAG5
12549,RPA1
12554,LIG1
12555,RPSA
12556,LIG3
12558,RRM2B
12562,RSPO2
12578,SAMD12
12586,SATB1
12605,NUDT2
12613,DNASE2
12633,MAPKAPK5
12637,SETD2
12646,SHQ1
12647,TIAM1
12649,IFNAR1
12652,SLC12A2
12657,PLXNA1
12676,SLC2A9
12680,TAF8
12685,SLC45A1
12689,NSRP1
12695,CHKA
12698,ALDH1A2
12709,TRAPPC10
12710,NAPB
12713,DUT
12723,SOHLH1
12736,DPH5
12744,SPEN
12750,SPINK2
12754,MTSS2
12757,SPRED2
12762,SPTBN1
12763,CBFB
12766,SP6
12767,KPNA3
12768,SCNM1
12774,MAST3
12781,STAG3
12785,TAMM41
12794,KIF26A
12802,CRLS1
12804,C3orf52
12807,PGM2L1
12824,TAPT1
12831,TBC1D8B
12835,AGR2
12841,TBX2
12843,GOLGA2
12851,TMEM163
12854,DYNLT2B
12859,TDRD7
12866,HECTD4
12877,UBE3C
12878,TFG
12890,TIA1
12896,MB
12899,PLXND1
12903,CAMSAP1
12907,MED11
12908,TMEM53
12911,RFX7
12912,DPP9
12914,NLRP5
12926,TNPO2
12927,TNR
12938,TRAF3IP2
12939,TRAPPC2L
12947,TRIM71
12960,TRPM3
12964,TRPM6
12979,TTC21A
12983,IFT56
12984,TTC29
12986,TTC5
13008,TUFT1
13016,TWNK
13019,TYMP
13024,UBA5
13026,UBE4A
13027,UBR7
13029,ESAM
13030,UFM1
13034,UNC45A
13037,UNC93B1
13042,AMFR
13067,SPTSSA
13070,VIM
13072,VMA21
13073,VPS11
13075,VPS16
13077,VPS4A
13105,CCN6
13106,WLS
13112,YIPF5
13118,ZFYVE19
13124,ZNF407
13125,ZNF526
13136,EIF4A2
13146,PSMC3
13149,SMARCA5
13151,TMEM63B
13154,UNC79
